test_idx,y_true,seq_to_seq,seq_to_clin,clin_to_seq,clin_to_clin
5419,0,0.001043,0.998957,0.001029,0.998971
21,0,1.0,0.0,0.0,1.0
384,0,0.966381,0.033619,0.0,1.0
533,0,1.0,0.0,0.0,1.0
4029,0,1.0,0.0,0.0,1.0
5275,1,1.0,0.0,1.0,0.0
4180,1,1.0,0.0,0.0,1.0
5764,0,0.909266,0.090734,0.891794,0.108206
999,1,1.0,0.0,0.0,1.0
2794,0,9.1e-05,0.999909,1.3e-05,0.999987
4479,1,1.0,0.0,1.0,0.0
3698,1,0.999964,3.6e-05,1.0,0.0
4268,1,0.999951,4.9e-05,1.0,0.0
915,1,1.0,0.0,1.0,0.0
4788,0,1.0,0.0,0.0,1.0
2728,0,0.000119,0.999881,1.9e-05,0.999981
2660,1,1.0,0.0,0.0,1.0
6033,0,0.849134,0.150866,0.852844,0.147156
3220,1,1.0,0.0,1.0,0.0
3096,0,0.07217,0.92783,0.195556,0.804444
4518,0,1.0,0.0,0.0,1.0
391,0,0.966378,0.033622,0.0,1.0
3569,1,0.070438,0.929562,0.999998,2e-06
4795,1,1.0,0.0,1.0,0.0
3691,1,0.99996,4e-05,1.0,0.0
1729,1,1.0,0.0,0.0,1.0
3452,1,0.999969,3.1e-05,1.0,0.0
4025,1,1.0,0.0,1.0,0.0
221,0,2.5e-05,0.999975,1e-06,0.999999
4933,1,0.999993,7e-06,1.0,0.0
3394,1,1.0,0.0,0.0,1.0
2001,1,1.0,0.0,0.0,1.0
1378,1,1.0,0.0,1.0,0.0
382,1,0.111468,0.888533,1.0,0.0
2585,1,1.0,0.0,1.0,0.0
1631,1,1.0,0.0,1.0,0.0
4894,1,1.0,0.0,1.0,0.0
1371,1,1.0,0.0,1.0,0.0
105,0,4.6e-05,0.999954,0.0,1.0
2748,1,0.999999,1e-06,1e-06,0.999999
1846,1,1.0,0.0,1.0,0.0
522,0,1.0,0.0,0.0,1.0
4115,1,1.0,0.0,0.0,1.0
972,1,1.0,0.0,1.0,0.0
294,0,2e-06,0.999998,0.0,1.0
4476,1,1.0,0.0,1.0,0.0
6025,0,0.84934,0.15066,0.852987,0.147013
2215,1,1.0,0.0,1.0,0.0
4775,1,0.999904,9.6e-05,1.0,0.0
3960,1,0.999974,2.6e-05,1.0,0.0
3957,1,1.0,0.0,0.0,1.0
3072,1,5.9e-05,0.999941,0.999929,7.1e-05
6080,0,0.27305,0.72695,0.469197,0.530803
3637,1,0.999982,1.8e-05,1.0,0.0
2181,1,1.0,0.0,1.0,0.0
3557,1,1.0,0.0,0.0,1.0
932,1,1.0,0.0,1.0,0.0
422,1,1.0,0.0,0.0,1.0
5184,1,0.031972,0.968028,0.098011,0.901989
3549,1,0.999995,5e-06,1.0,0.0
5414,0,0.030633,0.969367,0.094198,0.905802
6076,0,0.273361,0.726639,0.469528,0.530472
623,1,1.0,0.0,1.0,0.0
1343,1,1.0,0.0,1.0,0.0
1996,1,1.0,0.0,1.0,0.0
2141,1,1.0,0.0,1.0,0.0
256,1,1.0,0.0,1.0,0.0
398,0,1.0,0.0,0.0,1.0
5230,0,1.0,0.0,0.0,1.0
3803,1,1.0,0.0,1.0,0.0
4558,1,0.999994,6e-06,1.0,0.0
3965,1,0.999978,2.2e-05,1.0,0.0
696,1,1.0,0.0,1.0,0.0
4887,1,1.0,0.0,0.0,1.0
280,0,4e-06,0.999996,0.0,1.0
3233,1,1.0,0.0,1.0,0.0
6243,1,0.999994,6e-06,1.0,0.0
3138,1,1.0,0.0,0.0,1.0
3959,1,0.999992,8e-06,1.0,0.0
5079,0,0.000329,0.999671,3.6e-05,0.999964
3406,0,1.0,0.0,0.0,1.0
2377,1,1.0,0.0,1.0,0.0
5279,1,1.0,0.0,0.0,1.0
5915,1,1.0,0.0,1.0,0.0
1808,1,1.0,0.0,6e-06,0.999995
5007,1,1.0,0.0,0.0,1.0
713,0,0.000173,0.999827,3.5e-05,0.999965
5584,1,1.0,0.0,1.0,0.0
5860,1,1.0,0.0,1.0,0.0
2339,1,1.0,0.0,1.0,0.0
3558,0,1.0,0.0,0.0,1.0
1125,1,1.0,0.0,1.0,0.0
1402,1,1.0,0.0,1.0,0.0
6219,0,1.0,0.0,1.0,0.0
5325,1,1.0,0.0,1.0,0.0
4973,1,1.0,0.0,1.0,0.0
3045,0,0.023847,0.976153,0.0,1.0
3468,1,1.0,0.0,1.0,0.0
1973,0,1.0,0.0,0.0,1.0
263,1,1.0,0.0,0.0,1.0
3379,1,1.0,0.0,1.0,0.0
1858,1,1.0,0.0,1.0,0.0
2222,1,1.0,0.0,1.0,0.0
2952,1,0.979017,0.020983,1.0,0.0
1538,1,1.0,0.0,1.0,0.0
4198,1,1.0,0.0,0.0,1.0
2790,0,9.8e-05,0.999902,1.4e-05,0.999986
1292,1,1.0,0.0,1.0,0.0
5068,0,0.020763,0.979237,0.064789,0.935211
1481,0,1.0,0.0,0.0,1.0
3709,1,0.999978,2.2e-05,1.0,0.0
1702,1,1.0,0.0,1.0,0.0
5347,1,1.0,0.0,1.0,0.0
4593,1,0.999999,1e-06,1.0,0.0
2865,0,0.649185,0.350815,0.999969,3.1e-05
2048,1,1.0,0.0,0.999999,1e-06
3550,1,1.0,0.0,0.0,1.0
1260,1,1.0,0.0,1.0,0.0
4130,1,0.999972,2.8e-05,1.0,0.0
1960,0,1.0,0.0,0.0,1.0
3751,1,1.0,0.0,1.0,0.0
1351,1,1.0,0.0,1.0,0.0
4963,1,1.0,0.0,0.0,1.0
1924,1,1.0,0.0,1.0,0.0
1941,1,1.0,0.0,0.0,1.0
2546,0,0.000157,0.999843,0.0,1.0
4960,1,1.0,0.0,1.0,0.0
3594,0,0.778256,0.221744,0.81129,0.18871
4261,1,1.0,0.0,0.0,1.0
820,0,4.4e-05,0.999956,4e-06,0.999996
967,1,1.0,0.0,1.0,0.0
5078,0,0.105309,0.894691,0.258356,0.741644
6126,1,1.0,0.0,1.0,0.0
3867,1,1.0,0.0,0.0,1.0
2618,0,1.0,0.0,0.0,1.0
1377,1,0.999995,5e-06,1.0,0.0
1655,1,1.0,0.0,1.0,0.0
